Reg Vm
40082   3.07000000000000
45911	3.50000000000000
46922	3.58000000000000
47807	3.65000000000000
48718	3.71000000000000
49537	3.77000000000000
50203	3.82000000000000
51042	3.88000000000000
51731	3.93000000000000
52525	3.99000000000000
53269	4.04000000000000
54031	4.10000000000000
54741	4.15000000000000
55470	4.20000000000000
56183	4.25000000000000
56881	4.30000000000000
57489	4.34000000000000
58155	4.39000000000000
58791	4.43000000000000
59444	4.48000000000000
60102	4.52000000000000
60733	4.57000000000000
47914	3.67000000000000
54186	4.14500000000000
55758	4.26000000000000
57105	4.36000000000000
58258	4.44000000000000
59317	4.52000000000000
60299	4.59000000000000
61179	4.66000000000000
62066	4.72000000000000
62794	4.78000000000000
63431	4.82000000000000
64140	4.86000000000000
64835	4.91000000000000
65333	4.95000000000000
65409	4.95000000000000
65406	4.95000000000000
65406	4.95000000000000
65408	4.95000000000000
