Vcell	Icell	time
3.909960	2.160000	7.160000
3.912040	2.160000	7.193667
3.911750	2.160000	7.227500
3.910260	2.160000	7.261167
3.912640	2.160000	7.294833
3.910850	2.160000	7.328667
3.913530	2.160000	7.362500
3.913830	2.160000	7.396167
3.913230	2.160000	7.430000
3.915310	2.160000	7.463833
3.913530	2.160000	7.497500
3.913530	2.160000	7.531167
3.915020	2.160000	7.565167
3.914720	2.160000	7.598833
3.915310	2.160000	7.632667
3.915310	2.160000	7.666333
3.916210	2.160000	7.700167
3.917390	2.160000	7.733833
3.917990	2.160000	7.767500
3.917990	2.160000	7.801333
3.917690	2.160000	7.835167
3.919770	2.160000	7.869000
3.917990	2.160000	7.902833
3.918290	2.160000	7.936667
3.918290	2.160000	7.970333
3.920070	2.160000	8.004000
3.919480	2.160000	8.037667
3.919180	2.160000	8.071500
3.920670	2.160000	8.105167
3.920670	2.160000	8.138833
3.920960	2.160000	8.172667
3.922750	2.160000	8.206500
3.922450	2.160000	8.240167
3.921850	2.160000	8.273833
3.922750	2.160000	8.307500
3.922450	2.160000	8.341333
3.923640	2.160000	8.375167
3.923640	2.160000	8.409000
3.924830	2.160000	8.442667
3.925130	2.160000	8.476500
3.925130	2.160000	8.510333
3.926610	2.160000	8.544167
3.926020	2.160000	8.577833
3.926310	2.160000	8.611667
3.926020	2.160000	8.645500
3.927500	2.160000	8.679333
3.927210	2.160000	8.713167
3.928400	2.160000	8.746833
3.927210	2.160000	8.780667
3.928100	2.160000	8.814333
3.928400	2.160000	8.848167
3.929290	2.160000	8.882000
3.928690	2.160000	8.915833
3.929290	2.160000	8.949667
3.930180	2.160000	8.983500
3.930770	2.160000	9.017167
3.929590	2.160000	9.051000
3.931370	2.160000	9.084833
3.931370	2.160000	9.118667
3.931670	2.160000	9.152500
3.932260	2.160000	9.186333
3.933150	2.160000	9.220000
3.933150	2.160000	9.253833
3.932860	2.160000	9.287667
3.933750	2.160000	9.321333
3.934040	2.160000	9.355167
3.934040	2.160000	9.388833
3.933750	2.160000	9.422500
3.935230	2.160000	9.456333
3.935530	2.160000	9.490167
3.936720	2.160000	9.524000
3.935830	2.160000	9.557667
3.936720	2.160000	9.591500
3.937910	2.160000	9.625333
3.937320	2.160000	9.659167
3.937910	2.160000	9.693000
3.937910	2.160000	9.726833
3.937610	2.160000	9.760500
3.938210	2.160000	9.794167
3.938800	2.160000	9.828000
3.937910	2.160000	9.861667
3.939690	2.160000	9.895333
3.940880	2.160000	9.929167
3.939990	2.160000	9.963000
3.940590	2.160000	9.996833
3.942670	2.160000	10.030500
3.941480	2.160000	10.064167
3.942370	2.160000	10.098000
3.942070	2.160000	10.131833
3.942670	2.160000	10.165667
3.943560	2.160000	10.199500
3.942960	2.160000	10.233167
3.942370	2.160000	10.266833
3.943860	2.160000	10.300500
3.944750	2.160000	10.334333
3.944750	2.160000	10.368000
3.944450	2.160000	10.402000
3.946240	2.160000	10.435667
3.946530	2.160000	10.469333
3.947130	2.160000	10.503167
3.946530	2.160000	10.536833
3.947130	2.160000	10.570500
3.947720	2.160000	10.604333
3.948610	2.160000	10.638333
